,row,location,treatmdollar,treatmmin,treatflyer,treatinfo,treatv,solicitor,voterin2010,hour,nosolsign,toeliminate,dnd,votedin2010,votedin2008,friendsask2010,relativesask2010,coworkersask2010,peopleask2010,friendsask2008,relativesask2008,treatment,saidyes,coworkersask2008,peopleask2008,charity,date,year,answer,dhhRep,dhhDem
0,18,Oak Park,10,5,W,No,V,Bryant,1,11,0,0,0,,,,,,,,,W-10d5m,0,,,Sv2011,2011-07-09,2011,0,False,False
1,19,Oak Park,10,5,W,No,V,Bryant,0,11,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,,,W-10d5m,1,,,Sv2011,2011-07-09,2011,1,False,False
2,39,Oak Park,10,5,Nw,No,V,James,1,10,0,0,0,,,,,,,,,Nw-10d5m,0,,,Sv2011,2011-07-09,2011,0,False,True
3,40,Oak Park,10,5,Nw,No,V,James,1,10,0,0,0,,,,,,,,,Nw-10d5m,0,,,Sv2011,2011-07-09,2011,0,True,False
4,41,Oak Park,10,5,Nw,No,V,James,1,10,1,1,0,,,,,,,,,Nw-10d5m,0,,,Sv2011,2011-07-09,2011,0,False,True
5,42,Oak Park,10,5,Nw,No,V,James,1,10,1,0,0,,,,,,,,,Nw-10d5m,0,,,Sv2011,2011-07-09,2011,0,False,True
6,43,Oak Park,10,5,Nw,No,V,James,0,10,0,0,0,,,,,,,,,Nw-10d5m,0,,,Sv2011,2011-07-09,2011,0,False,False
7,44,Oak Park,10,5,Nw,No,V,James,1,10,0,0,0,,,,,,,,,Nw-10d5m,0,,,Sv2011,2011-07-09,2011,0,False,False
8,69,Oak Park,10,5,We,No,V,James,1,14,0,0,0,1.0,1.0,0.0,0.0,7.5,0.0,,,We-10d5m,1,,,Sv2011,2011-07-09,2011,1,False,True
9,67,Oak Park,10,10,We,No,Nv,James,1,14,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,,,We-10d10m,1,,,Sv2011,2011-07-09,2011,1,False,False
10,70,Oak Park,10,5,We,No,V,James,1,14,0,0,0,,,,,,,,,We-10d5m,0,,,Sv2011,2011-07-09,2011,0,True,True
11,68,Oak Park,10,10,We,No,Nv,James,1,14,0,0,0,,,,,,,,,We-10d10m,0,,,Sv2011,2011-07-09,2011,0,True,False
12,71,Oak Park,10,5,We,No,V,James,1,14,0,0,0,,,,,,,,,We-10d5m,0,,,Sv2011,2011-07-09,2011,0,False,False
13,139,Oak Park,10,5,We,No,V,Igor,1,13,0,0,0,,,,,,,,,We-10d5m,0,,,Sv2011,2011-07-09,2011,1,False,False
14,145,Oak Park,0,5,Nw,No,V,Igor,0,13,0,0,0,,,,,,,,,Nw-0d5m,0,,,Sv2011,2011-07-09,2011,0,False,False
15,146,Oak Park,0,5,Nw,No,V,Igor,1,13,0,0,0,1.0,1.0,5.0,0.0,0.0,0.0,,,Nw-0d5m,1,,,Sv2011,2011-07-09,2011,1,False,False
